Date,Mortgage Rate
2015-01,3.67
2015-02,3.71
2015-03,3.77
2015-04,3.67
2015-05,3.84
2015-06,3.98
2015-07,4.05
2015-08,3.9
2015-09,3.89
2015-10,3.8
2015-11,3.94
2015-12,3.96
2016-01,3.87
2016-02,3.66
2016-03,3.69
2016-04,3.6
2016-05,3.6
2016-06,3.57
2016-07,3.44
2016-08,3.44
2016-09,3.46
2016-10,3.47
2016-11,3.77
2016-12,4.2
2017-01,4.15
2017-02,4.17
2017-03,4.2
2017-04,4.04
2017-05,4.01
2017-06,3.9
2017-07,3.97
2017-08,3.88
2017-09,3.8
2017-10,3.9
2017-11,3.92
2017-12,3.95
2018-01,4.03
2018-02,4.33
2018-03,4.44
2018-04,4.47
2018-05,4.59
2018-06,4.57
2018-07,4.53
2018-08,4.55
2018-09,4.63
2018-10,4.83
2018-11,4.87
2018-12,4.64
2019-01,4.46
2019-02,4.37
2019-03,4.26
2019-04,4.14
2019-05,4.07
2019-06,3.8
2019-07,3.76
2019-08,3.62
2019-09,3.6
2019-10,3.69
2019-11,3.7
2019-12,3.72
2020-01,3.62
2020-02,3.47
2020-03,3.45
2020-04,3.31
2020-05,3.23
2020-06,3.16
2020-07,3.02
2020-08,2.94
2020-09,2.89
2020-10,2.83
2020-11,2.76
2020-12,2.68
2021-01,2.74
2021-02,2.81
2021-03,3.08
2021-04,3.06
2021-05,2.96
2021-06,2.98
2021-07,2.87
2021-08,2.84
2021-09,2.9
2021-10,3.07
2021-11,3.07
2021-12,3.1
2022-01,3.44
2022-02,3.76
2022-03,4.17
2022-04,4.98
2022-05,5.23
2022-06,5.52
2022-07,5.41
2022-08,5.22
2022-09,6.11
2022-10,6.9
2022-11,6.8
2022-12,6.36
2023-01,6.27
2023-02,6.26
2023-03,6.54
2023-04,6.34
2023-05,6.42
2023-06,6.71
2023-07,6.84
2023-08,7.07
2023-09,7.2
2023-10,7.62
2023-11,7.44
2023-12,6.82
2024-01,6.64
2024-02,6.78
2024-03,6.82
2024-04,6.99
2024-05,7.06
2024-06,6.92
2024-07,6.85
2024-08,6.5
2024-09,6.18
2024-10,6.43
2024-11,6.8
2024-12,6.72
2025-01,6.96
2025-02,6.84
2025-03,6.65
2025-04,6.72
2025-05,6.82
2025-06,6.82
2025-07,6.72
2025-08,6.59
2025-09,6.35
2025-10,6.25
2025-11,6.24
2025-12,6.19
