County,Year,MonthlyRentForecast
Albany,2025,1118.7875
Albany,2026,1146.7571874999999
Albany,2027,1175.4261171874996
Albany,2028,1204.811770117187
Albany,2029,1234.9320643701167
Albany,2030,1265.8053659793693
Allegany,2025,720.4895833333333
Allegany,2026,738.5018229166666
Allegany,2027,756.9643684895831
Allegany,2028,775.8884777018226
Allegany,2029,795.2856896443681
Allegany,2030,815.1678318854772
Bronx,2025,1804.8541666666665
Bronx,2026,1849.9755208333331
Bronx,2027,1896.224908854166
Bronx,2028,1943.6305315755199
Bronx,2029,1992.2212948649078
Bronx,2030,2042.0268272365304
Broome,2025,894.4833333333332
Broome,2026,916.8454166666666
Broome,2027,939.766552083333
Broome,2028,963.2607158854162
Broome,2029,987.3422337825515
Broome,2030,1012.0257896271153
Cattaraugus,2025,754.4854166666667
Cattaraugus,2026,773.3475520833333
Cattaraugus,2027,792.6812408854164
Cattaraugus,2028,812.4982719075518
Cattaraugus,2029,832.8107287052405
Cattaraugus,2030,853.6309969228714
Cayuga,2025,844.0020833333332
Cayuga,2026,865.1021354166666
Cayuga,2027,886.729688802083
Cayuga,2028,908.897931022135
Cayuga,2029,931.6203792976883
Cayuga,2030,954.9108887801304
Chautauqua,2025,707.1645833333332
Chautauqua,2026,724.8436979166665
Chautauqua,2027,742.9647903645831
Chautauqua,2028,761.5389101236975
Chautauqua,2029,780.5773828767899
Chautauqua,2030,800.0918174487097
Chemung,2025,988.0999999999999
Chemung,2026,1012.8024999999999
Chemung,2027,1038.1225624999997
Chemung,2028,1064.0756265624996
Chemung,2029,1090.677517226562
Chemung,2030,1117.944455157226
Chenango,2025,776.0958333333332
Chenango,2026,795.4982291666665
Chenango,2027,815.385684895833
Chenango,2028,835.7703270182287
Chenango,2029,856.6645851936844
Chenango,2030,878.0811998235265
Clinton,2025,972.6395833333332
Clinton,2026,996.9555729166666
Clinton,2027,1021.879462239583
Clinton,2028,1047.4264487955725
Clinton,2029,1073.6121100154617
Clinton,2030,1100.452412765848
Columbia,2025,1205.3145833333333
Columbia,2026,1235.4474479166668
Columbia,2027,1266.333634114583
Columbia,2028,1297.9919749674475
Columbia,2029,1330.4417743416336
Columbia,2030,1363.7028187001742
Cortland,2025,922.2437499999999
Cortland,2026,945.2998437499999
Cortland,2027,968.9323398437497
Cortland,2028,993.1556483398433
Cortland,2029,1017.9845395483393
Cortland,2030,1043.4341530370477
Delaware,2025,831.7020833333332
Delaware,2026,852.4946354166666
Delaware,2027,873.807001302083
Delaware,2028,895.652176334635
Delaware,2029,918.0434807430008
Delaware,2030,940.9945677615757
Dutchess,2025,1306.7041666666664
Dutchess,2026,1339.3717708333331
Dutchess,2027,1372.8560651041662
Dutchess,2028,1407.1774667317702
Dutchess,2029,1442.3569034000643
Dutchess,2030,1478.4158259850658
Erie,2025,1026.3666666666666
Erie,2026,1052.0258333333334
Erie,2027,1078.3264791666663
Erie,2028,1105.284641145833
Erie,2029,1132.9167571744786
Erie,2030,1161.2396761038406
Essex,2025,852.2874999999999
Essex,2026,873.5946875
Essex,2027,895.4345546874997
Essex,2028,917.8204185546871
