County,Food,Child Care,Medical,Housing,Transportation,Civic,Internet & Mobile,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
Albany,4599.0,0.0,3658.0,13098.0,9077.0,3535.0,1452.0,4566.0,39985.0,7861.0,47846.0
Allegany,4279.0,0.0,3269.0,8435.0,10833.0,3535.0,1559.0,4566.0,36478.0,6930.0,43408.0
Bronx,4599.0,0.0,4380.0,21130.0,4495.0,3535.0,1350.0,4566.0,44054.0,8941.0,52995.0
Broome,4439.0,0.0,3714.0,10472.0,9094.0,3535.0,1435.0,4566.0,37254.0,7136.0,44390.0
Cattaraugus,4040.0,0.0,3269.0,8833.0,10277.0,3535.0,1366.0,4566.0,35886.0,6773.0,42659.0
Cayuga,4325.0,0.0,3714.0,9881.0,10304.0,3535.0,1478.0,4566.0,37803.0,7282.0,45085.0
Chautauqua,4222.0,0.0,3269.0,8279.0,9685.0,3535.0,1366.0,4566.0,34922.0,6517.0,41440.0
Chemung,4234.0,0.0,3714.0,11568.0,9798.0,3535.0,1413.0,4566.0,38829.0,7554.0,46383.0
Chenango,3925.0,0.0,3662.0,9086.0,10360.0,3535.0,1435.0,4566.0,36569.0,6954.0,43524.0
Clinton,4382.0,0.0,3662.0,11387.0,10179.0,3535.0,1495.0,4566.0,39207.0,7654.0,46861.0
Columbia,4530.0,0.0,3658.0,14111.0,11129.0,3535.0,1479.0,4566.0,43008.0,8663.0,51670.0
Cortland,4176.0,0.0,3714.0,10797.0,10278.0,3535.0,1469.0,4566.0,38536.0,7476.0,46012.0
Delaware,4644.0,0.0,4104.0,9737.0,10401.0,3535.0,1501.0,4566.0,38489.0,7464.0,45953.0
Dutchess,4553.0,0.0,4104.0,15298.0,11200.0,3535.0,1405.0,4566.0,44661.0,9102.0,53762.0
Erie,4564.0,0.0,3269.0,12016.0,8727.0,3535.0,1463.0,4566.0,38141.0,7371.0,45513.0
Essex,4690.0,0.0,3662.0,9978.0,11053.0,3535.0,1670.0,4566.0,39154.0,7640.0,46794.0
Franklin,4176.0,0.0,3662.0,8122.0,10709.0,3535.0,1495.0,4566.0,36265.0,6874.0,43139.0
Fulton,4085.0,0.0,3658.0,9580.0,9810.0,3535.0,1559.0,4566.0,36793.0,7014.0,43807.0
Genesee,4131.0,0.0,3269.0,8977.0,11357.0,3535.0,1431.0,4566.0,37267.0,7139.0,44406.0
Greene,4473.0,0.0,3658.0,12207.0,11086.0,3535.0,1566.0,4566.0,41091.0,8154.0,49245.0
Hamilton,4462.0,0.0,3662.0,12123.0,13942.0,3535.0,1430.0,4566.0,43720.0,8852.0,52573.0
Herkimer,4028.0,0.0,3662.0,10067.0,10337.0,3535.0,1559.0,4566.0,37755.0,7269.0,45024.0
Jefferson,4222.0,0.0,3662.0,10713.0,9875.0,3535.0,1533.0,4566.0,38107.0,7362.0,45469.0
Kings,5112.0,0.0,4380.0,26251.0,4878.0,3535.0,1527.0,4566.0,50249.0,10584.0,60833.0
Lewis,3823.0,0.0,3662.0,8821.0,11853.0,3535.0,1559.0,4566.0,37819.0,7286.0,45105.0
Livingston,4279.0,0.0,3473.0,10330.0,11481.0,3535.0,1431.0,4566.0,39095.0,7625.0,46720.0
Madison,4268.0,0.0,3662.0,10073.0,11211.0,3535.0,1478.0,4566.0,38793.0,7544.0,46337.0
Monroe,4485.0,0.0,3473.0,12754.0,9521.0,3535.0,1350.0,4566.0,39684.0,7781.0,47465.0
Montgomery,4165.0,0.0,3658.0,9218.0,9683.0,3535.0,1559.0,4566.0,36385.0,6905.0,43291.0
Nassau,4793.0,0.0,4248.0,22295.0,9875.0,3535.0,1350.0,4566.0,50663.0,10694.0,61357.0
New York,6801.0,0.0,4380.0,31371.0,3925.0,3535.0,1559.0,4566.0,56138.0,12200.0,68338.0
Niagara,4222.0,0.0,3269.0,10081.0,9706.0,3535.0,1463.0,4566.0,36842.0,7027.0,43869.0
Oneida,4211.0,0.0,3662.0,11383.0,9497.0,3535.0,1563.0,4566.0,38417.0,7445.0,45862.0
Onondaga,4530.0,0.0,3714.0,12062.0,9629.0,3535.0,1398.0,4566.0,39435.0,7715.0,47150.0
Ontario,4485.0,0.0,3473.0,12754.0,10957.0,3535.0,1388.0,4566.0,41158.0,8172.0,49329.0
Orange,4370.0,0.0,4104.0,16102.0,10890.0,3535.0,1280.0,4566.0,44848.0,9151.0,53999.0
Orleans,4017.0,0.0,3269.0,9933.0,11442.0,3535.0,1624.0,4566.0,38387.0,7437.0,45823.0
Oswego,4062.0,0.0,3662.0,10661.0,11209.0,3535.0,1431.0,4566.0,39126.0,7633.0,46759.0
Otsego,4325.0,0.0,3662.0,9785.0,10308.0,3535.0,1559.0,4566.0,37741.0,7265.0,45006.0
Putnam,4930.0,0.0,4104.0,26839.0,11816.0,3535.0,1430.0,4566.0,57221.0,12600.0,69822.0
Queens,4633.0,0.0,4380.0,28178.0,6240.0,3535.0,1534.0,4566.0,53065.0,11332.0,64397.0
Rensselaer,4450.0,0.0,3658.0,12366.0,10048.0,3535.0,1516.0,4566.0,40139.0,7902.0,48041.0
Richmond,4633.0,0.0,4380.0,24853.0,9242.0,3535.0,1366.0,4566.0,52575.0,11202.0,63777.0
Rockland,4473.0,0.0,4380.0,26869.0,9932.0,3535.0,1259.0,4566.0,55013.0,11849.0,66862.0
St. Lawrence,4222.0,0.0,3662.0,8724.0,10512.0,3535.0,1498.0,4566.0,36720.0,6994.0,43714.0
Saratoga,4736.0,0.0,3658.0,14092.0,10741.0,3535.0,1516.0,4566.0,42844.0,8619.0,51463.0
Schenectady,4370.0,0.0,3658.0,12125.0,9963.0,3535.0,1516.0,4566.0,39734.0,7794.0,47528.0
Schoharie,3925.0,0.0,3658.0,9583.0,11724.0,3535.0,1565.0,4566.0,38557.0,7482.0,46039.0
Schuyler,4234.0,0.0,3714.0,8736.0,10867.0,3535.0,1413.0,4566.0,37066.0,7086.0,44152.0
Seneca,3960.0,0.0,3473.0,9881.0,10486.0,3535.0,1533.0,4566.0,37435.0,7184.0,44619.0
Steuben,4256.0,0.0,3714.0,9990.0,10292.0,3535.0,1413.0,4566.0,37767.0,7272.0,45039.0
Suffolk,4815.0,0.0,4248.0,22245.0,11137.0,3535.0,1537.0,4566.0,52083.0,11071.0,63155.0
