ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,mortgage_rate,mortgage_rate_lower,mortgage_rate_upper,tax,tax_lower,tax_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,County
2015-01-31,109314.02071008738,96885.45016727268,109203.10200340554,109314.02071008738,109314.02071008738,-6319.954320731276,-6319.954320731276,-6319.954320731276,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,243.53227951011263,243.53227951011263,243.53227951011263,0.0,0.0,0.0,102994.0663893561,Albany
2015-02-28,109789.59026883473,97098.80140021764,109203.78106684716,109789.59026883473,109789.59026883473,-6417.827918285517,-6417.827918285517,-6417.827918285517,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,145.65868195587228,145.65868195587228,145.65868195587228,0.0,0.0,0.0,103371.76235054921,Albany
2015-03-31,110316.11370887644,97719.99895460701,110049.02437086908,110316.11370887644,110316.11370887644,-6349.085824025074,-6349.085824025074,-6349.085824025074,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,214.40077621631477,214.40077621631477,214.40077621631477,0.0,0.0,0.0,103967.02788485137,Albany
2015-04-30,110825.65252182001,98029.45630324281,110142.41926987514,110825.65252182001,110825.65252182001,-6538.372976687125,-6538.372976687125,-6538.372976687125,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,25.113623554263746,25.113623554263746,25.113623554263746,0.0,0.0,0.0,104287.27954513289,Albany
2015-05-31,111352.17596186172,98929.84385921177,110863.80245882229,111352.17596186172,111352.17596186172,-6604.872024074088,-6604.872024074088,-6604.872024074088,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-41.38542383269864,-41.38542383269864,-41.38542383269864,0.0,0.0,0.0,104747.30393778763,Albany
2015-06-30,111825.07967535971,99626.14098712946,111677.59164087226,111825.07967535971,111825.07967535971,-6406.305902714363,-6406.305902714363,-6406.305902714363,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,157.1806975270251,157.1806975270251,157.1806975270251,0.0,0.0,0.0,105418.77377264535,Albany
2015-07-31,112313.7468459743,99598.56298415034,111503.5860810673,112313.7468459743,112313.7468459743,-6541.217460275343,-6541.217460275343,-6541.217460275343,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,22.269139966045884,22.269139966045884,22.269139966045884,0.0,0.0,0.0,105772.52938569896,Albany
2015-08-31,112802.41401658888,100153.92783456254,112167.00132754841,112802.41401658888,112802.41401658888,-6805.107141023729,-6805.107141023729,-6805.107141023729,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-241.62054078234056,-241.62054078234056,-241.62054078234056,0.0,0.0,0.0,105997.30687556515,Albany
2015-09-30,113275.31773008687,99387.18597911122,111420.85290011892,113275.31773008687,113275.31773008687,-7618.212331844756,-7618.212331844756,-7618.212331844756,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-1054.7257316033672,-1054.7257316033672,-1054.7257316033672,0.0,0.0,0.0,105657.10539824211,Albany
2015-10-31,113728.33320158254,101098.13617127409,113768.81426127558,113728.33320158254,113728.33320158254,-6353.50571029732,-6353.50571029732,-6353.50571029732,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,209.98088994406882,209.98088994406882,209.98088994406882,0.0,0.0,0.0,107374.82749128522,Albany
