Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage
2015,Schoharie,New York,733,147000,3222,952,9512
2015,Fulton,New York,711,108200,2648,811,15684
2015,Rensselaer,New York,875,179100,4380,1266,41240
2015,Franklin,New York,671,101600,2019,743,13927
2015,Queens,New York,1367,450300,3705,1582,340561
2015,Washington,New York,803,142700,3147,994,17531
2015,New York,New York,1519,848700,7208,1903,172079
2015,Cayuga,New York,673,113600,2944,900,22028
2015,Rockland,New York,1335,419100,10001,2393,68107
2015,Niagara,New York,654,108000,3255,881,62294
2015,Essex,New York,805,145100,2424,826,11275
2015,Nassau,New York,1578,446400,10001,2455,353777
2015,Jefferson,New York,947,141000,2331,886,24610
2015,Suffolk,New York,1544,375100,8449,2242,392390
2015,Wyoming,New York,589,102000,2781,827,11865
2015,Oswego,New York,721,94800,2612,864,32675
2015,Wayne,New York,694,112900,3418,938,28288
2015,Broome,New York,703,109900,2928,846,51992
2015,Erie,New York,739,130000,3499,938,248889
2015,Sullivan,New York,841,165900,3968,1058,18611
2015,Orange,New York,1155,262500,6419,1858,86184
2015,Schuyler,New York,640,108500,2564,727,5933
2015,Chenango,New York,637,91700,2300,736,14785
2015,Bronx,New York,1074,363400,3337,1499,91993
2015,Onondaga,New York,787,135900,3789,1059,120529
2015,Seneca,New York,716,97000,2779,834,9806
2015,Putnam,New York,1234,354900,8631,2250,27946
2015,Herkimer,New York,623,96100,2423,750,18556
2015,Ontario,New York,809,145700,3508,1024,32228
2015,Steuben,New York,658,91000,2525,742,28756
2015,Hamilton,New York,622,162600,2036,663,1177
2015,Chautauqua,New York,612,84500,2371,713,37284
2015,Kings,New York,1215,570200,3656,1834,272717
2015,Tioga,New York,644,112600,2803,855,15585
2015,Orleans,New York,639,91300,3055,923,12112
2015,Saratoga,New York,993,232900,3809,1311,64423
2015,Columbia,New York,884,222100,4216,1204,18141
2015,Lewis,New York,699,117300,2009,738,8066
2015,Westchester,New York,1364,506900,10001,2527,210195
2015,Delaware,New York,668,132400,2554,758,14000
2015,Montgomery,New York,702,101600,3177,868,13109
2015,Richmond,New York,1169,439500,3717,1951,114000
2015,St. Lawrence,New York,700,87600,2048,748,29600
2015,Tompkins,New York,988,176500,4363,1141,21356
2015,Warren,New York,862,189700,2966,1029,18890
2015,Cortland,New York,684,108200,3418,911,11788
2015,Dutchess,New York,1130,275600,5826,1791,73727
2015,Monroe,New York,826,138600,4307,1103,192326
2015,Oneida,New York,706,114000,2901,868,59675
