County,Year,Breakeven_Months,Breakeven_Years
Schoharie,2015,,
Fulton,2015,,
Rensselaer,2015,,
Franklin,2015,,
Queens,2015,,
Washington,2015,,
New York,2015,,
Cayuga,2015,,
Rockland,2015,,
Niagara,2015,,
Essex,2015,,
Nassau,2015,,
Jefferson,2015,4098.360655737705,341.5300546448088
Suffolk,2015,,
Wyoming,2015,,
Oswego,2015,,
Wayne,2015,,
Broome,2015,,
Erie,2015,,
Sullivan,2015,,
Orange,2015,,
Schuyler,2015,,
Chenango,2015,,
Bronx,2015,,
Onondaga,2015,,
Seneca,2015,,
Putnam,2015,,
Herkimer,2015,,
Ontario,2015,,
Steuben,2015,,
Hamilton,2015,,
Chautauqua,2015,,
Kings,2015,,
Tioga,2015,,
Orleans,2015,,
Saratoga,2015,,
Columbia,2015,,
Lewis,2015,,
Westchester,2015,,
Delaware,2015,,
Montgomery,2015,,
Richmond,2015,,
St. Lawrence,2015,,
Tompkins,2015,,
Warren,2015,,
Cortland,2015,,
Dutchess,2015,,
Monroe,2015,,
Oneida,2015,,
Ulster,2015,,
Chemung,2015,,
Livingston,2015,,
Otsego,2015,,
Clinton,2015,,
Greene,2015,,
Albany,2015,,
Allegany,2015,,
Cattaraugus,2015,,
Madison,2015,,
Schenectady,2015,,
Genesee,2015,,
Yates,2015,,
Schoharie,2016,,
Fulton,2016,,
Rensselaer,2016,,
Franklin,2016,,
Queens,2016,,
Washington,2016,,
New York,2016,,
Cayuga,2016,,
Rockland,2016,,
Niagara,2016,,
Essex,2016,,
Nassau,2016,,
Schuyler,2016,,
Chenango,2016,,
Jefferson,2016,3424.6575342465753,285.38812785388126
Suffolk,2016,,
Oswego,2016,,
Wayne,2016,,
Broome,2016,,
Erie,2016,,
Sullivan,2016,,
Orange,2016,,
Bronx,2016,,
Onondaga,2016,,
Clinton,2016,,
Seneca,2016,,
Putnam,2016,,
Herkimer,2016,,
Ontario,2016,,
Steuben,2016,,
Hamilton,2016,7352.941176470588,612.7450980392157
Chautauqua,2016,,
Kings,2016,,
Tioga,2016,,
Orleans,2016,,
Saratoga,2016,,
Columbia,2016,,
Lewis,2016,,
Westchester,2016,,
Delaware,2016,,
Montgomery,2016,,
Richmond,2016,,
St. Lawrence,2016,,
Tompkins,2016,,
Warren,2016,,
Cortland,2016,,
Dutchess,2016,,
Monroe,2016,,
Oneida,2016,,
