Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Date,Mortgage_Rate,Buy_CF,Rent_CF,Buy_Eligible,Down_Payment_Used
2015,Schoharie,New York,733,147000,3222,952,9512,2015-01,3.67,-40824.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-02,3.71,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-03,3.77,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-04,3.67,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-05,3.84,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-06,3.98,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-07,4.05,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-08,3.9,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-09,3.89,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-10,3.8,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-11,3.94,-11424.0,-8796,True,29400
2015,Schoharie,New York,733,147000,3222,952,9512,2015-12,3.96,-11424.0,-8796,True,29400
2015,Fulton,New York,711,108200,2648,811,15684,2015-01,3.67,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-02,3.71,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-03,3.77,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-04,3.67,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-05,3.84,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-06,3.98,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-07,4.05,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-08,3.9,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-09,3.89,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-10,3.8,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-11,3.94,-9732.0,-8532,True,21640
2015,Fulton,New York,711,108200,2648,811,15684,2015-12,3.96,-9732.0,-8532,True,21640
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-01,3.67,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-02,3.71,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-03,3.77,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-04,3.67,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-05,3.84,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-06,3.98,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-07,4.05,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-08,3.9,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-09,3.89,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-10,3.8,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-11,3.94,-15192.0,-10500,True,35820
2015,Rensselaer,New York,875,179100,4380,1266,41240,2015-12,3.96,-15192.0,-10500,True,35820
2015,Franklin,New York,671,101600,2019,743,13927,2015-01,3.67,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-02,3.71,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-03,3.77,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-04,3.67,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-05,3.84,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-06,3.98,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-07,4.05,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-08,3.9,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-09,3.89,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-10,3.8,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-11,3.94,-8916.0,-8052,True,20320
2015,Franklin,New York,671,101600,2019,743,13927,2015-12,3.96,-8916.0,-8052,True,20320
2015,Queens,New York,1367,450300,3705,1582,340561,2015-01,3.67,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-02,3.71,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-03,3.77,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-04,3.67,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-05,3.84,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-06,3.98,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-07,4.05,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-08,3.9,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-09,3.89,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-10,3.8,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-11,3.94,-18984.0,-16404,True,90060
2015,Queens,New York,1367,450300,3705,1582,340561,2015-12,3.96,-18984.0,-16404,True,90060
