Year,County,MedianRent
2015,Schoharie,596.0
2015,Fulton,548.0
2015,Rensselaer,722.0
2015,Franklin,534.0
2015,Queens,1248.0
2015,Washington,627.0
2015,New York,1432.0
2015,Cayuga,557.0
2015,Rockland,1200.0
2015,Niagara,523.0
2015,Essex,635.0
2015,Nassau,1437.0
2015,Jefferson,757.0
2015,Suffolk,1391.0
2015,Wyoming,470.0
2015,Oswego,560.0
2015,Wayne,561.0
2015,Broome,595.0
2015,Erie,599.0
2015,Sullivan,699.0
2015,Orange,984.0
2015,Schuyler,510.0
2015,Chenango,512.0
2015,Bronx,959.0
2015,Onondaga,668.0
2015,Seneca,556.0
2015,Putnam,1150.0
2015,Herkimer,507.0
2015,Ontario,689.0
2015,Steuben,513.0
2015,Hamilton,481.0
2015,Chautauqua,472.0
2015,Kings,1110.0
2015,Tioga,526.0
2015,Orleans,507.0
2015,Saratoga,844.0
2015,Columbia,725.0
2015,Lewis,523.0
2015,Westchester,1233.0
2015,Delaware,528.0
2015,Montgomery,536.0
2015,Richmond,1021.0
2015,St. Lawrence,545.0
2015,Tompkins,907.0
2015,Warren,726.0
2015,Cortland,576.0
2015,Dutchess,980.0
2015,Monroe,711.0
2015,Oneida,557.0
2015,Ulster,849.0
2015,Chemung,594.0
2015,Livingston,579.0
2015,Otsego,627.0
2015,Clinton,636.0
2015,Greene,668.0
2015,Albany,792.0
2015,Allegany,462.0
2015,Cattaraugus,460.0
2015,Madison,574.0
2015,Schenectady,696.0
2015,Genesee,569.0
2015,Yates,535.0
2016,Schoharie,620.0
2016,Fulton,564.0
2016,Rensselaer,741.0
2016,Franklin,540.0
2016,Queens,1291.0
2016,Washington,643.0
2016,New York,1488.0
2016,Cayuga,574.0
2016,Rockland,1230.0
2016,Niagara,530.0
2016,Essex,633.0
2016,Nassau,1463.0
2016,Schuyler,560.0
2016,Chenango,516.0
2016,Jefferson,768.0
2016,Suffolk,1431.0
2016,Oswego,577.0
2016,Wayne,578.0
2016,Broome,609.0
2016,Erie,617.0
2016,Sullivan,709.0
2016,Orange,985.0
2016,Bronx,984.0
2016,Onondaga,686.0
2016,Clinton,642.0
2016,Seneca,575.0
2016,Putnam,1165.0
2016,Herkimer,512.0
2016,Ontario,697.0
2016,Steuben,525.0
2016,Hamilton,529.0
2016,Chautauqua,483.0
2016,Kings,1150.0
2016,Tioga,542.0
2016,Orleans,518.0
2016,Saratoga,872.0
2016,Columbia,729.0
2016,Lewis,524.0
2016,Westchester,1266.0
2016,Delaware,545.0
2016,Montgomery,551.0
2016,Richmond,1042.0
2016,St. Lawrence,543.0
2016,Tompkins,933.0
2016,Warren,746.0
2016,Cortland,614.0
2016,Dutchess,980.0
2016,Monroe,729.0
2016,Oneida,567.0
2016,Ulster,860.0
2016,Chemung,603.0
2016,Livingston,581.0
2016,Otsego,630.0
2016,Greene,665.0
2016,Albany,810.0
2016,Allegany,478.0
2016,Cattaraugus,470.0
2016,Madison,578.0
2016,Schenectady,714.0
2016,Genesee,569.0
2016,Yates,538.0
2016,Wyoming,495.0
2017,Schoharie,643.0
2017,Bronx,1024.0
2017,Onondaga,710.0
2017,Fulton,574.0
2017,Clinton,657.0
2017,Seneca,581.0
2017,Rensselaer,769.0
2017,Putnam,1191.0
2017,Franklin,549.0
2017,Herkimer,529.0
2017,Ontario,714.0
2017,Queens,1342.0
2017,Steuben,546.0
2017,Hamilton,530.0
2017,Washington,658.0
2017,Chautauqua,495.0
2017,Kings,1191.0
2017,New York,1521.0
2017,Tioga,559.0
2017,Cayuga,590.0
2017,Orleans,528.0
2017,Saratoga,895.0
2017,Rockland,1260.0
2017,Columbia,741.0
2017,Lewis,543.0
2017,Niagara,539.0
2017,Westchester,1320.0
2017,Delaware,552.0
2017,Essex,638.0
2017,Montgomery,562.0
2017,Nassau,1534.0
2017,Richmond,1079.0
2017,St. Lawrence,575.0
2017,Schuyler,584.0
2017,Tompkins,975.0
2017,Warren,754.0
2017,Chenango,525.0
2017,Cortland,639.0
2017,Dutchess,1032.0
2017,Jefferson,797.0
2017,Monroe,758.0
2017,Oneida,587.0
2017,Suffolk,1484.0
2017,Ulster,879.0
2017,Wyoming,500.0
2017,Chemung,634.0
2017,Livingston,599.0
2017,Oswego,592.0
2017,Otsego,658.0
2017,Greene,686.0
2017,Wayne,591.0
2017,Albany,841.0
2017,Allegany,496.0
2017,Broome,623.0
2017,Cattaraugus,480.0
2017,Erie,637.0
2017,Madison,595.0
2017,Schenectady,743.0
2017,Sullivan,712.0
2017,Genesee,587.0
2017,Yates,548.0
2017,Orange,1016.0
2018,Schoharie,648.0
2018,Fulton,586.0
2018,Rensselaer,792.0
2018,Franklin,544.0
2018,Queens,1403.0
2018,Washington,683.0
2018,New York,1583.0
2018,Cayuga,617.0
2018,Rockland,1315.0
2018,Niagara,553.0
2018,Essex,653.0
2018,Nassau,1607.0
2018,Schuyler,594.0
