Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Mortgage_Rate,Rent_CF,Buy_CF,Rent_NPV,Buy_NPV,Rent_IRR,Buy_IRR
2015,Albany,New York,919,208400,4200,1276,72000,3.67,-11028.0,-265312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.71,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.77,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.67,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.84,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.98,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,4.05,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.9,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.89,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.8,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.94,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2015,Albany,New York,919,208400,4200,1276,72000,3.96,-11028.0,-15312.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.87,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.66,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.69,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.6,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.6,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.57,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.44,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.44,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.46,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.47,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,3.77,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2016,Albany,New York,931,211100,4321,1270,71279,4.2,-11172.0,-15240.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,4.15,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,4.17,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,4.2,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,4.04,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,4.01,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.9,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.97,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.88,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.8,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.9,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.92,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2017,Albany,New York,969,214400,4465,1291,71274,3.95,-11628.0,-15492.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.03,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.33,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.44,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.47,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.59,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.57,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.53,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.55,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.63,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.83,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.87,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2018,Albany,New York,993,218100,4577,1321,71253,4.64,-11916.0,-15852.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,4.46,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,4.37,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,4.26,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,4.14,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,4.07,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.8,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.76,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.62,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.6,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.69,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.7,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2019,Albany,New York,1022,222500,4666,1322,71341,3.72,-12264.0,-15864.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.62,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.47,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.45,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.31,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.23,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.16,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2020,Albany,New York,1057,230300,4726,1314,71829,3.02,-12684.0,-15768.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
