Year,MedianRent,MedianHomeValue,CountyName,StateFIPS,CountyFIPS
2015,733,147000,"Schoharie County, New York",36,095
2015,711,108200,"Fulton County, New York",36,035
2015,875,179100,"Rensselaer County, New York",36,083
2015,671,101600,"Franklin County, New York",36,033
2015,1367,450300,"Queens County, New York",36,081
2015,803,142700,"Washington County, New York",36,115
2015,1519,848700,"New York County, New York",36,061
2015,673,113600,"Cayuga County, New York",36,011
2015,1335,419100,"Rockland County, New York",36,087
2015,654,108000,"Niagara County, New York",36,063
2015,805,145100,"Essex County, New York",36,031
2015,1578,446400,"Nassau County, New York",36,059
2015,947,141000,"Jefferson County, New York",36,045
2015,1544,375100,"Suffolk County, New York",36,103
2015,589,102000,"Wyoming County, New York",36,121
2015,721,94800,"Oswego County, New York",36,075
2015,694,112900,"Wayne County, New York",36,117
2015,703,109900,"Broome County, New York",36,007
2015,739,130000,"Erie County, New York",36,029
2015,841,165900,"Sullivan County, New York",36,105
2015,1155,262500,"Orange County, New York",36,071
2015,640,108500,"Schuyler County, New York",36,097
2015,637,91700,"Chenango County, New York",36,017
2015,1074,363400,"Bronx County, New York",36,005
2015,787,135900,"Onondaga County, New York",36,067
2015,716,97000,"Seneca County, New York",36,099
2015,1234,354900,"Putnam County, New York",36,079
2015,623,96100,"Herkimer County, New York",36,043
2015,809,145700,"Ontario County, New York",36,069
2015,658,91000,"Steuben County, New York",36,101
2015,622,162600,"Hamilton County, New York",36,041
2015,612,84500,"Chautauqua County, New York",36,013
2015,1215,570200,"Kings County, New York",36,047
2015,644,112600,"Tioga County, New York",36,107
2015,639,91300,"Orleans County, New York",36,073
2015,993,232900,"Saratoga County, New York",36,091
2015,884,222100,"Columbia County, New York",36,021
2015,699,117300,"Lewis County, New York",36,049
2015,1364,506900,"Westchester County, New York",36,119
2015,668,132400,"Delaware County, New York",36,025
2015,702,101600,"Montgomery County, New York",36,057
2015,1169,439500,"Richmond County, New York",36,085
2015,700,87600,"St. Lawrence County, New York",36,089
2015,988,176500,"Tompkins County, New York",36,109
2015,862,189700,"Warren County, New York",36,113
2015,684,108200,"Cortland County, New York",36,023
2015,1130,275600,"Dutchess County, New York",36,027
2015,826,138600,"Monroe County, New York",36,055
2015,706,114000,"Oneida County, New York",36,065
2015,1013,222800,"Ulster County, New York",36,111
2015,713,100400,"Chemung County, New York",36,015
2015,721,121200,"Livingston County, New York",36,051
2015,776,142800,"Otsego County, New York",36,077
2015,744,124200,"Clinton County, New York",36,019
2015,837,177700,"Greene County, New York",36,039
2015,919,208400,"Albany County, New York",36,001
