County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Albany,"$3,526","$3,526","$3,526","$3,526","$3,526","$3,526","$3,526","$3,526","$3,526","$3,526","$3,526"
Allegany,"$1,959","$1,959","$1,959","$1,959","$1,959","$1,959","$1,959","$1,959","$1,959","$1,959","$1,959"
Bronx,"$2,653","$2,653","$2,653","$2,653","$2,653","$2,653","$2,653","$2,653","$2,653","$2,653","$2,653"
Broome,"$2,417","$2,417","$2,417","$2,417","$2,417","$2,417","$2,417","$2,417","$2,417","$2,417","$2,417"
Cattaraugus,"$2,054","$2,054","$2,054","$2,054","$2,054","$2,054","$2,054","$2,054","$2,054","$2,054","$2,054"
Cayuga,"$2,550","$2,550","$2,550","$2,550","$2,550","$2,550","$2,550","$2,550","$2,550","$2,550","$2,550"
Chautauqua,"$2,187","$2,187","$2,187","$2,187","$2,187","$2,187","$2,187","$2,187","$2,187","$2,187","$2,187"
Chemung,"$2,202","$2,202","$2,202","$2,202","$2,202","$2,202","$2,202","$2,202","$2,202","$2,202","$2,202"
Chenango,"$2,076","$2,076","$2,076","$2,076","$2,076","$2,076","$2,076","$2,076","$2,076","$2,076","$2,076"
Clinton,"$2,341","$2,341","$2,341","$2,341","$2,341","$2,341","$2,341","$2,341","$2,341","$2,341","$2,341"
Columbia,"$3,605","$3,605","$3,605","$3,605","$3,605","$3,605","$3,605","$3,605","$3,605","$3,605","$3,605"
Cortland,"$2,747","$2,747","$2,747","$2,747","$2,747","$2,747","$2,747","$2,747","$2,747","$2,747","$2,747"
Delaware,"$2,055","$2,055","$2,055","$2,055","$2,055","$2,055","$2,055","$2,055","$2,055","$2,055","$2,055"
Dutchess,"$4,873","$4,873","$4,873","$4,873","$4,873","$4,873","$4,873","$4,873","$4,873","$4,873","$4,873"
Erie,"$3,120","$3,120","$3,120","$3,120","$3,120","$3,120","$3,120","$3,120","$3,120","$3,120","$3,120"
Essex,"$2,008","$2,008","$2,008","$2,008","$2,008","$2,008","$2,008","$2,008","$2,008","$2,008","$2,008"
Franklin,"$1,848","$1,848","$1,848","$1,848","$1,848","$1,848","$1,848","$1,848","$1,848","$1,848","$1,848"
Fulton,"$2,262","$2,262","$2,262","$2,262","$2,262","$2,262","$2,262","$2,262","$2,262","$2,262","$2,262"
Genesee,"$2,818","$2,818","$2,818","$2,818","$2,818","$2,818","$2,818","$2,818","$2,818","$2,818","$2,818"
Greene,"$2,584","$2,584","$2,584","$2,584","$2,584","$2,584","$2,584","$2,584","$2,584","$2,584","$2,584"
Hamilton,"$1,837","$1,837","$1,837","$1,837","$1,837","$1,837","$1,837","$1,837","$1,837","$1,837","$1,837"
Herkimer,"$2,097","$2,097","$2,097","$2,097","$2,097","$2,097","$2,097","$2,097","$2,097","$2,097","$2,097"
Jefferson,"$1,961","$1,961","$1,961","$1,961","$1,961","$1,961","$1,961","$1,961","$1,961","$1,961","$1,961"
Kings,"$2,903","$2,903","$2,903","$2,903","$2,903","$2,903","$2,903","$2,903","$2,903","$2,903","$2,903"
Lewis,"$1,717","$1,717","$1,717","$1,717","$1,717","$1,717","$1,717","$1,717","$1,717","$1,717","$1,717"
Livingston,"$3,062","$3,062","$3,062","$3,062","$3,062","$3,062","$3,062","$3,062","$3,062","$3,062","$3,062"
Madison,"$2,766","$2,766","$2,766","$2,766","$2,766","$2,766","$2,766","$2,766","$2,766","$2,766","$2,766"
Monroe,"$3,805","$3,805","$3,805","$3,805","$3,805","$3,805","$3,805","$3,805","$3,805","$3,805","$3,805"
Montgomery,"$2,713","$2,713","$2,713","$2,713","$2,713","$2,713","$2,713","$2,713","$2,713","$2,713","$2,713"
Nassau,"$8,711","$8,711","$8,711","$8,711","$8,711","$8,711","$8,711","$8,711","$8,711","$8,711","$8,711"
New York,"$5,873","$5,873","$5,873","$5,873","$5,873","$5,873","$5,873","$5,873","$5,873","$5,873","$5,873"
Niagara,"$2,986","$2,986","$2,986","$2,986","$2,986","$2,986","$2,986","$2,986","$2,986","$2,986","$2,986"
Oneida,"$2,504","$2,504","$2,504","$2,504","$2,504","$2,504","$2,504","$2,504","$2,504","$2,504","$2,504"
Onondaga,"$3,237","$3,237","$3,237","$3,237","$3,237","$3,237","$3,237","$3,237","$3,237","$3,237","$3,237"
Ontario,"$3,122","$3,122","$3,122","$3,122","$3,122","$3,122","$3,122","$3,122","$3,122","$3,122","$3,122"
Orange,"$5,586","$5,586","$5,586","$5,586","$5,586","$5,586","$5,586","$5,586","$5,586","$5,586","$5,586"
Orleans,"$2,873","$2,873","$2,873","$2,873","$2,873","$2,873","$2,873","$2,873","$2,873","$2,873","$2,873"
Oswego,"$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354"
Otsego,"$2,053","$2,053","$2,053","$2,053","$2,053","$2,053","$2,053","$2,053","$2,053","$2,053","$2,053"
Putnam,"$7,331","$7,331","$7,331","$7,331","$7,331","$7,331","$7,331","$7,331","$7,331","$7,331","$7,331"
Queens,"$2,914","$2,914","$2,914","$2,914","$2,914","$2,914","$2,914","$2,914","$2,914","$2,914","$2,914"
Rensselaer,"$3,529","$3,529","$3,529","$3,529","$3,529","$3,529","$3,529","$3,529","$3,529","$3,529","$3,529"
Richmond,"$2,842","$2,842","$2,842","$2,842","$2,842","$2,842","$2,842","$2,842","$2,842","$2,842","$2,842"
Rockland,"$8,268","$8,268","$8,268","$8,268","$8,268","$8,268","$8,268","$8,268","$8,268","$8,268","$8,268"
St. Lawrence,"$3,368","$3,368","$3,368","$3,368","$3,368","$3,368","$3,368","$3,368","$3,368","$3,368","$3,368"
Saratoga,"$3,857","$3,857","$3,857","$3,857","$3,857","$3,857","$3,857","$3,857","$3,857","$3,857","$3,857"
Schenectady,"$2,273","$2,273","$2,273","$2,273","$2,273","$2,273","$2,273","$2,273","$2,273","$2,273","$2,273"
Schoharie,"$1,974","$1,974","$1,974","$1,974","$1,974","$1,974","$1,974","$1,974","$1,974","$1,974","$1,974"
Schuyler,"$2,544","$2,544","$2,544","$2,544","$2,544","$2,544","$2,544","$2,544","$2,544","$2,544","$2,544"
Seneca,"$1,674","$1,674","$1,674","$1,674","$1,674","$1,674","$1,674","$1,674","$1,674","$1,674","$1,674"
Steuben,"$2,160","$2,160","$2,160","$2,160","$2,160","$2,160","$2,160","$2,160","$2,160","$2,160","$2,160"
Suffolk,"$7,192","$7,192","$7,192","$7,192","$7,192","$7,192","$7,192","$7,192","$7,192","$7,192","$7,192"
Sullivan,"$3,645","$3,645","$3,645","$3,645","$3,645","$3,645","$3,645","$3,645","$3,645","$3,645","$3,645"
Tioga,"$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354","$2,354"
Tompkins,"$3,815","$3,815","$3,815","$3,815","$3,815","$3,815","$3,815","$3,815","$3,815","$3,815","$3,815"
Ulster,"$4,208","$4,208","$4,208","$4,208","$4,208","$4,208","$4,208","$4,208","$4,208","$4,208","$4,208"
Warren,"$2,525","$2,525","$2,525","$2,525","$2,525","$2,525","$2,525","$2,525","$2,525","$2,525","$2,525"
