index,NAIC Code ,Company Name ,Calendar Year ,Net Premiums Written
0,10369,Walton Coooperative Fire Insurance Company,2016,75670
1,44245,21st Century Assurance Company,2016,0
2,36404,21st Century Casualty Company,2016,0
3,43974,21st Century Indemnity Insurance Company,2016,3626122
4,12963,21st Century Insurance Company,2016,0
5,36587,21st Century National Insurance Company,2016,13235093
6,32220,21st Century North America Insurance Company,2016,13121361
7,22225,21st Century Preferred Insurance Company,2016,761822
8,20796,21st Century Premier Insurance Company,2016,2819495
9,23833,21st Century Security Insurance Company,2016,2661646
10,11105,A. Central Insurance Company,2016,36074045
11,22896,ACA Financial Guaranty Corporation,2016,0
12,42544,Academic Health Professionals Insurance Association - A Reciprocal Insurer,2016,72781055
13,31325,Acadia Insurance Company,2016,18780082
14,12304,Accident Fund General Insurance Company,2016,415385
15,10166,Accident Fund Insurance Company of America,2016,669245
16,12305,Accident Fund National Insurance Company,2016,534058
17,26379,"Accredited Surety and Casualty Company, Inc.",2016,104957
18,22667,ACE American Insurance Company,2016,365025250
19,20702,ACE Fire Underwriters Insurance Company,2016,440941
20,20699,ACE Property and Casualty Insurance Company,2016,52605055
21,19984,ACIG Insurance Company,2016,1418019
22,22950,ACSTAR Insurance Company,2016,99252
23,12583,Adirondack Insurance Exchange,2016,161187791
24,44318,Admiral Indemnity Company,2016,61275477
25,40517,Advantage Workers Compensation Insurance Company,2016,216747
26,33898,Aegis Security Insurance Company,2016,4501544
27,36153,Aetna Insurance Company of Connecticut,2016,0
28,10014,Affiliated FM Insurance Company,2016,63852818
29,10413,Affirmative Direct Insurance Company,2016,0
30,22837,AGCS Marine Insurance Company,2016,55692033
31,42757,Agri General Insurance Company,2016,3655993
32,19402,AIG Property Casualty Company,2016,244668003
33,34886,Aioi Nissay Dowa Insurance Company of America,2016,846692
34,19399,AIU Insurance Company,2016,1558932
35,10957,Alamance Insurance Company,2016,0
36,24899,Alea North America Insurance Company,2016,0
37,20222,All America Insurance Company,2016,5267988
38,30970,Allegany Co-op Insurance Company,2016,13933532
39,13285,Allegheny Casualty Company,2016,1167470
40,15334,Alliance National Insurance Company,2016,9290926
41,35300,Allianz Global Risks US Insurance Company,2016,38632176
42,36420,Allianz Underwriters Insurance Company,2016,2430583
43,11242,Allied Eastern Indemnity Company,2016,5890
44,10127,Allied Insurance Company of America,2016,209314
45,42579,Allied Property and Casualty Insurance Company,2016,521781
46,38245,BCS Insurance Company,2016,54494917
47,19489,Allied World Assurance Company (U.S.) Inc.,2016,78355400
48,22730,Allied World Insurance Company,2016,11999876
49,16624,Allied World Specialty Insurance Company,2016,25729953
50,10212,Allmerica Financial Alliance Insurance Company,2016,64078125
51,41840,Allmerica Financial Benefit Insurance Company,2016,20611283
52,29688,Allstate Fire and Casualty Insurance Company,2016,740882664
