Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Net_Difference,Cumulative_Rent_k,Cumulative_Owner_k,Net_Difference_k
2015,Albany,New York,919,208400,4200,1276,72000,1276,919,1276,-357,0.919,1.276,-0.357
2016,Albany,New York,931,211100,4321,1270,71279,1270,1850,2546,-696,1.85,2.546,-0.696
2017,Albany,New York,969,214400,4465,1291,71274,1291,2819,3837,-1018,2.819,3.837,-1.018
2018,Albany,New York,993,218100,4577,1321,71253,1321,3812,5158,-1346,3.812,5.158,-1.346
2019,Albany,New York,1022,222500,4666,1322,71341,1322,4834,6480,-1646,4.834,6.48,-1.646
2020,Albany,New York,1057,230300,4726,1314,71829,1314,5891,7794,-1903,5.891,7.794,-1.903
2021,Albany,New York,1113,235200,4835,1361,74905,1361,7004,9155,-2151,7.004,9.155,-2.151
2022,Albany,New York,1196,263800,5114,1436,74707,1436,8200,10591,-2391,8.2,10.591,-2.391
2023,Albany,New York,1252,277400,5253,1483,75285,1483,9452,12074,-2622,9.452,12.074,-2.622
2015,Allegany,New York,606,70300,2320,680,13373,680,606,680,-74,0.606,0.68,-0.074
2016,Allegany,New York,618,72100,2367,661,13334,661,1224,1341,-117,1.224,1.341,-0.117
2017,Allegany,New York,633,73300,2421,659,13463,659,1857,2000,-143,1.857,2.0,-0.143
2018,Allegany,New York,645,73900,2420,665,13533,665,2502,2665,-163,2.502,2.665,-0.163
2019,Allegany,New York,658,76400,2479,663,13678,663,3160,3328,-168,3.16,3.328,-0.168
2020,Allegany,New York,659,78400,2574,678,14266,678,3819,4006,-187,3.819,4.006,-0.187
2021,Allegany,New York,686,80900,2607,688,13502,688,4505,4694,-189,4.505,4.694,-0.189
2022,Allegany,New York,735,93200,2814,744,13584,744,5240,5438,-198,5.24,5.438,-0.198
2023,Allegany,New York,754,97900,2881,762,13698,762,5994,6200,-206,5.994,6.2,-0.206
2015,Bronx,New York,1074,363400,3337,1499,91993,1499,1074,1499,-425,1.074,1.499,-0.425
2016,Bronx,New York,1098,363600,3464,1480,93569,1480,2172,2979,-807,2.172,2.979,-0.807
2017,Bronx,New York,1133,371800,3594,1472,97658,1472,3305,4451,-1146,3.305,4.451,-1.146
2018,Bronx,New York,1176,382900,3762,1523,97983,1523,4481,5974,-1493,4.481,5.974,-1.493
2019,Bronx,New York,1212,404700,3932,1537,99212,1537,5693,7511,-1818,5.693,7.511,-1.818
2020,Bronx,New York,1247,427900,4208,1557,102325,1557,6940,9068,-2128,6.94,9.068,-2.128
2021,Bronx,New York,1306,445900,4567,1641,103443,1641,8246,10709,-2463,8.246,10.709,-2.463
2022,Bronx,New York,1401,501400,4984,1716,104887,1716,9647,12425,-2778,9.647,12.425,-2.778
2023,Bronx,New York,1436,517000,5310,1777,107439,1777,11083,14202,-3119,11.083,14.202,-3.119
2015,Broome,New York,703,109900,2928,846,51992,846,703,846,-143,0.703,0.846,-0.143
2016,Broome,New York,717,112300,3053,843,51475,843,1420,1689,-269,1.42,1.689,-0.269
2017,Broome,New York,734,113100,3133,855,51769,855,2154,2544,-390,2.154,2.544,-0.39
2018,Broome,New York,766,115600,3200,877,51327,877,2920,3421,-501,2.92,3.421,-0.501
2019,Broome,New York,776,117000,3279,869,51189,869,3696,4290,-594,3.696,4.29,-0.594
2020,Broome,New York,782,120200,3397,853,51780,853,4478,5143,-665,4.478,5.143,-0.665
2021,Broome,New York,806,122200,3480,885,52654,885,5284,6028,-744,5.284,6.028,-0.744
2022,Broome,New York,882,139200,3698,959,52748,959,6166,6987,-821,6.166,6.987,-0.821
2023,Broome,New York,914,145100,3824,983,52810,983,7080,7970,-890,7.08,7.97,-0.89
