Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Equity,Net_Difference,Cumulative_Rent_k,Cumulative_Equity_k,Net_Difference_k
2015,Albany,New York,919,208400,4200,1276,72000,1276,919,250000,-249081,0.919,250.0,-249.081
2016,Albany,New York,931,211100,4321,1270,71279,1270,1850,251276,-249426,1.85,251.276,-249.426
2017,Albany,New York,969,214400,4465,1291,71274,1291,2819,252546,-249727,2.819,252.546,-249.727
2018,Albany,New York,993,218100,4577,1321,71253,1321,3812,253837,-250025,3.812,253.837,-250.025
2019,Albany,New York,1022,222500,4666,1322,71341,1322,4834,255158,-250324,4.834,255.158,-250.324
2020,Albany,New York,1057,230300,4726,1314,71829,1314,5891,256480,-250589,5.891,256.48,-250.589
2021,Albany,New York,1113,235200,4835,1361,74905,1361,7004,257794,-250790,7.004,257.794,-250.79
2022,Albany,New York,1196,263800,5114,1436,74707,1436,8200,259155,-250955,8.2,259.155,-250.955
2023,Albany,New York,1252,277400,5253,1483,75285,1483,9452,260591,-251139,9.452,260.591,-251.139
2015,Allegany,New York,606,70300,2320,680,13373,680,606,250000,-249394,0.606,250.0,-249.394
2016,Allegany,New York,618,72100,2367,661,13334,661,1224,250680,-249456,1.224,250.68,-249.456
2017,Allegany,New York,633,73300,2421,659,13463,659,1857,251341,-249484,1.857,251.341,-249.484
2018,Allegany,New York,645,73900,2420,665,13533,665,2502,252000,-249498,2.502,252.0,-249.498
2019,Allegany,New York,658,76400,2479,663,13678,663,3160,252665,-249505,3.16,252.665,-249.505
2020,Allegany,New York,659,78400,2574,678,14266,678,3819,253328,-249509,3.819,253.328,-249.509
2021,Allegany,New York,686,80900,2607,688,13502,688,4505,254006,-249501,4.505,254.006,-249.501
2022,Allegany,New York,735,93200,2814,744,13584,744,5240,254694,-249454,5.24,254.694,-249.454
2023,Allegany,New York,754,97900,2881,762,13698,762,5994,255438,-249444,5.994,255.438,-249.444
2015,Bronx,New York,1074,363400,3337,1499,91993,1499,1074,0,1074,1.074,0.0,1.074
2016,Bronx,New York,1098,363600,3464,1480,93569,1480,2172,0,2172,2.172,0.0,2.172
2017,Bronx,New York,1133,371800,3594,1472,97658,1472,3305,0,3305,3.305,0.0,3.305
2018,Bronx,New York,1176,382900,3762,1523,97983,1523,4481,0,4481,4.481,0.0,4.481
2019,Bronx,New York,1212,404700,3932,1537,99212,1537,5693,0,5693,5.693,0.0,5.693
2020,Bronx,New York,1247,427900,4208,1557,102325,1557,6940,0,6940,6.94,0.0,6.94
2021,Bronx,New York,1306,445900,4567,1641,103443,1641,8246,0,8246,8.246,0.0,8.246
2022,Bronx,New York,1401,501400,4984,1716,104887,1716,9647,0,9647,9.647,0.0,9.647
2023,Bronx,New York,1436,517000,5310,1777,107439,1777,11083,0,11083,11.083,0.0,11.083
2015,Broome,New York,703,109900,2928,846,51992,846,703,250000,-249297,0.703,250.0,-249.297
2016,Broome,New York,717,112300,3053,843,51475,843,1420,250846,-249426,1.42,250.846,-249.426
2017,Broome,New York,734,113100,3133,855,51769,855,2154,251689,-249535,2.154,251.689,-249.535
2018,Broome,New York,766,115600,3200,877,51327,877,2920,252544,-249624,2.92,252.544,-249.624
2019,Broome,New York,776,117000,3279,869,51189,869,3696,253421,-249725,3.696,253.421,-249.725
2020,Broome,New York,782,120200,3397,853,51780,853,4478,254290,-249812,4.478,254.29,-249.812
2021,Broome,New York,806,122200,3480,885,52654,885,5284,255143,-249859,5.284,255.143,-249.859
2022,Broome,New York,882,139200,3698,959,52748,959,6166,256028,-249862,6.166,256.028,-249.862
2023,Broome,New York,914,145100,3824,983,52810,983,7080,256987,-249907,7.08,256.987,-249.907
2015,Cattaraugus,New York,617,84600,2564,725,22560,725,617,250000,-249383,0.617,250.0,-249.383
2016,Cattaraugus,New York,616,85100,2608,720,22606,720,1233,250725,-249492,1.233,250.725,-249.492
2017,Cattaraugus,New York,626,86500,2689,730,22617,730,1859,251445,-249586,1.859,251.445,-249.586
2018,Cattaraugus,New York,639,86200,2706,729,22458,729,2498,252175,-249677,2.498,252.175,-249.677
2019,Cattaraugus,New York,655,88100,2722,726,22778,726,3153,252904,-249751,3.153,252.904,-249.751
2020,Cattaraugus,New York,654,90200,2789,732,23090,732,3807,253630,-249823,3.807,253.63,-249.823
2021,Cattaraugus,New York,682,92500,2813,728,22737,728,4489,254362,-249873,4.489,254.362,-249.873
2022,Cattaraugus,New York,745,105100,2902,768,23220,768,5234,255090,-249856,5.234,255.09,-249.856
2023,Cattaraugus,New York,759,109400,2946,767,23732,767,5993,255858,-249865,5.993,255.858,-249.865
2015,Cayuga,New York,673,113600,2944,900,22028,900,673,250000,-249327,0.673,250.0,-249.327
2016,Cayuga,New York,695,117800,3007,887,21993,887,1368,250900,-249532,1.368,250.9,-249.532
2017,Cayuga,New York,715,120000,2997,903,22255,903,2083,251787,-249704,2.083,251.787,-249.704
2018,Cayuga,New York,747,123000,3052,929,22189,929,2830,252690,-249860,2.83,252.69,-249.86
2019,Cayuga,New York,763,128000,3163,927,22251,927,3593,253619,-250026,3.593,253.619,-250.026
2020,Cayuga,New York,769,131700,3193,910,21886,910,4362,254546,-250184,4.362,254.546,-250.184
2021,Cayuga,New York,799,138200,3345,964,21571,964,5161,255456,-250295,5.161,255.456,-250.295
2022,Cayuga,New York,868,158900,3727,1026,21643,1026,6029,256420,-250391,6.029,256.42,-250.391
2023,Cayuga,New York,895,164200,3747,1051,22533,1051,6924,257446,-250522,6.924,257.446,-250.522
2015,Chautauqua,New York,612,84500,2371,713,37284,713,612,250000,-249388,0.612,250.0,-249.388
2016,Chautauqua,New York,619,85500,2422,699,36888,699,1231,250713,-249482,1.231,250.713,-249.482
2017,Chautauqua,New York,631,85800,2460,702,37098,702,1862,251412,-249550,1.862,251.412,-249.55
2018,Chautauqua,New York,649,86300,2479,708,36802,708,2511,252114,-249603,2.511,252.114,-249.603
2019,Chautauqua,New York,659,88000,2520,699,36755,699,3170,252822,-249652,3.17,252.822,-249.652
2020,Chautauqua,New York,675,92900,2605,709,36795,709,3845,253521,-249676,3.845,253.521,-249.676
2021,Chautauqua,New York,694,96000,2632,723,36515,723,4539,254230,-249691,4.539,254.23,-249.691
2022,Chautauqua,New York,759,110900,2784,776,36891,776,5298,254953,-249655,5.298,254.953,-249.655
2023,Chautauqua,New York,797,119300,2846,785,37020,785,6095,255729,-249634,6.095,255.729,-249.634
2015,Chemung,New York,713,100400,2580,812,24286,812,713,250000,-249287,0.713,250.0,-249.287
2016,Chemung,New York,723,101800,2609,816,23815,816,1436,250812,-249376,1.436,250.812,-249.376
2017,Chemung,New York,764,105500,2733,835,23609,835,2200,251628,-249428,2.2,251.628,-249.428
2018,Chemung,New York,805,106500,2798,847,23349,847,3005,252463,-249458,3.005,252.463,-249.458
2019,Chemung,New York,813,105800,2831,839,23217,839,3818,253310,-249492,3.818,253.31,-249.492
2020,Chemung,New York,862,108900,2872,829,23069,829,4680,254149,-249469,4.68,254.149,-249.469
2021,Chemung,New York,918,114600,3092,851,23353,851,5598,254978,-249380,5.598,254.978,-249.38
2022,Chemung,New York,991,128200,3267,916,23801,916,6589,255829,-249240,6.589,255.829,-249.24
2023,Chemung,New York,1020,132100,3332,952,24384,952,7609,256745,-249136,7.609,256.745,-249.136
2015,Chenango,New York,637,91700,2300,736,14785,736,637,250000,-249363,0.637,250.0,-249.363
2016,Chenango,New York,632,93400,2390,735,14968,735,1269,250736,-249467,1.269,250.736,-249.467
2017,Chenango,New York,645,95900,2451,730,15265,730,1914,251471,-249557,1.914,251.471,-249.557
2018,Chenango,New York,667,97000,2537,745,15370,745,2581,252201,-249620,2.581,252.201,-249.62
2019,Chenango,New York,678,98400,2545,745,15414,745,3259,252946,-249687,3.259,252.946,-249.687
