Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2015,Albany,New York,919,208400,4200,1276,72000,1276,919,1276,-248724,249643,0.919,-248.724,249.643
2016,Albany,New York,931,211100,4321,1270,71279,1270,1850,2546,-247454,249304,1.85,-247.454,249.304
2017,Albany,New York,969,214400,4465,1291,71274,1291,2819,3837,-246163,248982,2.819,-246.163,248.982
2018,Albany,New York,993,218100,4577,1321,71253,1321,3812,5158,-244842,248654,3.812,-244.842,248.654
2019,Albany,New York,1022,222500,4666,1322,71341,1322,4834,6480,-243520,248354,4.834,-243.52,248.354
2020,Albany,New York,1057,230300,4726,1314,71829,1314,5891,7794,-242206,248097,5.891,-242.206,248.097
2021,Albany,New York,1113,235200,4835,1361,74905,1361,7004,9155,-240845,247849,7.004,-240.845,247.849
2022,Albany,New York,1196,263800,5114,1436,74707,1436,8200,10591,-239409,247609,8.2,-239.409,247.609
2023,Albany,New York,1252,277400,5253,1483,75285,1483,9452,12074,-237926,247378,9.452,-237.926,247.378
2015,Allegany,New York,606,70300,2320,680,13373,680,606,680,-249320,249926,0.606,-249.32,249.926
2016,Allegany,New York,618,72100,2367,661,13334,661,1224,1341,-248659,249883,1.224,-248.659,249.883
2017,Allegany,New York,633,73300,2421,659,13463,659,1857,2000,-248000,249857,1.857,-248.0,249.857
2018,Allegany,New York,645,73900,2420,665,13533,665,2502,2665,-247335,249837,2.502,-247.335,249.837
2019,Allegany,New York,658,76400,2479,663,13678,663,3160,3328,-246672,249832,3.16,-246.672,249.832
2020,Allegany,New York,659,78400,2574,678,14266,678,3819,4006,-245994,249813,3.819,-245.994,249.813
2021,Allegany,New York,686,80900,2607,688,13502,688,4505,4694,-245306,249811,4.505,-245.306,249.811
2022,Allegany,New York,735,93200,2814,744,13584,744,5240,5438,-244562,249802,5.24,-244.562,249.802
2023,Allegany,New York,754,97900,2881,762,13698,762,5994,6200,-243800,249794,5.994,-243.8,249.794
2015,Bronx,New York,1074,363400,3337,1499,91993,1499,1074,1499,-248501,249575,1.074,-248.501,249.575
2016,Bronx,New York,1098,363600,3464,1480,93569,1480,2172,2979,-247021,249193,2.172,-247.021,249.193
2017,Bronx,New York,1133,371800,3594,1472,97658,1472,3305,4451,-245549,248854,3.305,-245.549,248.854
2018,Bronx,New York,1176,382900,3762,1523,97983,1523,4481,5974,-244026,248507,4.481,-244.026,248.507
2019,Bronx,New York,1212,404700,3932,1537,99212,1537,5693,7511,-242489,248182,5.693,-242.489,248.182
2020,Bronx,New York,1247,427900,4208,1557,102325,1557,6940,9068,-240932,247872,6.94,-240.932,247.872
2021,Bronx,New York,1306,445900,4567,1641,103443,1641,8246,10709,-239291,247537,8.246,-239.291,247.537
2022,Bronx,New York,1401,501400,4984,1716,104887,1716,9647,12425,-237575,247222,9.647,-237.575,247.222
2023,Bronx,New York,1436,517000,5310,1777,107439,1777,11083,14202,-235798,246881,11.083,-235.798,246.881
2015,Broome,New York,703,109900,2928,846,51992,846,703,846,-249154,249857,0.703,-249.154,249.857
2016,Broome,New York,717,112300,3053,843,51475,843,1420,1689,-248311,249731,1.42,-248.311,249.731
2017,Broome,New York,734,113100,3133,855,51769,855,2154,2544,-247456,249610,2.154,-247.456,249.61
2018,Broome,New York,766,115600,3200,877,51327,877,2920,3421,-246579,249499,2.92,-246.579,249.499
2019,Broome,New York,776,117000,3279,869,51189,869,3696,4290,-245710,249406,3.696,-245.71,249.406
2020,Broome,New York,782,120200,3397,853,51780,853,4478,5143,-244857,249335,4.478,-244.857,249.335
2021,Broome,New York,806,122200,3480,885,52654,885,5284,6028,-243972,249256,5.284,-243.972,249.256
2022,Broome,New York,882,139200,3698,959,52748,959,6166,6987,-243013,249179,6.166,-243.013,249.179
2023,Broome,New York,914,145100,3824,983,52810,983,7080,7970,-242030,249110,7.08,-242.03,249.11
2015,Cattaraugus,New York,617,84600,2564,725,22560,725,617,725,-249275,249892,0.617,-249.275,249.892
2016,Cattaraugus,New York,616,85100,2608,720,22606,720,1233,1445,-248555,249788,1.233,-248.555,249.788
2017,Cattaraugus,New York,626,86500,2689,730,22617,730,1859,2175,-247825,249684,1.859,-247.825,249.684
2018,Cattaraugus,New York,639,86200,2706,729,22458,729,2498,2904,-247096,249594,2.498,-247.096,249.594
2019,Cattaraugus,New York,655,88100,2722,726,22778,726,3153,3630,-246370,249523,3.153,-246.37,249.523
2020,Cattaraugus,New York,654,90200,2789,732,23090,732,3807,4362,-245638,249445,3.807,-245.638,249.445
2021,Cattaraugus,New York,682,92500,2813,728,22737,728,4489,5090,-244910,249399,4.489,-244.91,249.399
2022,Cattaraugus,New York,745,105100,2902,768,23220,768,5234,5858,-244142,249376,5.234,-244.142,249.376
2023,Cattaraugus,New York,759,109400,2946,767,23732,767,5993,6625,-243375,249368,5.993,-243.375,249.368
2015,Cayuga,New York,673,113600,2944,900,22028,900,673,900,-249100,249773,0.673,-249.1,249.773
2016,Cayuga,New York,695,117800,3007,887,21993,887,1368,1787,-248213,249581,1.368,-248.213,249.581
2017,Cayuga,New York,715,120000,2997,903,22255,903,2083,2690,-247310,249393,2.083,-247.31,249.393
2018,Cayuga,New York,747,123000,3052,929,22189,929,2830,3619,-246381,249211,2.83,-246.381,249.211
2019,Cayuga,New York,763,128000,3163,927,22251,927,3593,4546,-245454,249047,3.593,-245.454,249.047
2020,Cayuga,New York,769,131700,3193,910,21886,910,4362,5456,-244544,248906,4.362,-244.544,248.906
2021,Cayuga,New York,799,138200,3345,964,21571,964,5161,6420,-243580,248741,5.161,-243.58,248.741
2022,Cayuga,New York,868,158900,3727,1026,21643,1026,6029,7446,-242554,248583,6.029,-242.554,248.583
2023,Cayuga,New York,895,164200,3747,1051,22533,1051,6924,8497,-241503,248427,6.924,-241.503,248.427
2015,Chautauqua,New York,612,84500,2371,713,37284,713,612,713,-249287,249899,0.612,-249.287,249.899
2016,Chautauqua,New York,619,85500,2422,699,36888,699,1231,1412,-248588,249819,1.231,-248.588,249.819
2017,Chautauqua,New York,631,85800,2460,702,37098,702,1862,2114,-247886,249748,1.862,-247.886,249.748
2018,Chautauqua,New York,649,86300,2479,708,36802,708,2511,2822,-247178,249689,2.511,-247.178,249.689
2019,Chautauqua,New York,659,88000,2520,699,36755,699,3170,3521,-246479,249649,3.17,-246.479,249.649
2020,Chautauqua,New York,675,92900,2605,709,36795,709,3845,4230,-245770,249615,3.845,-245.77,249.615
2021,Chautauqua,New York,694,96000,2632,723,36515,723,4539,4953,-245047,249586,4.539,-245.047,249.586
2022,Chautauqua,New York,759,110900,2784,776,36891,776,5298,5729,-244271,249569,5.298,-244.271,249.569
2023,Chautauqua,New York,797,119300,2846,785,37020,785,6095,6514,-243486,249581,6.095,-243.486,249.581
2015,Chemung,New York,713,100400,2580,812,24286,812,713,812,-249188,249901,0.713,-249.188,249.901
2016,Chemung,New York,723,101800,2609,816,23815,816,1436,1628,-248372,249808,1.436,-248.372,249.808
2017,Chemung,New York,764,105500,2733,835,23609,835,2200,2463,-247537,249737,2.2,-247.537,249.737
2018,Chemung,New York,805,106500,2798,847,23349,847,3005,3310,-246690,249695,3.005,-246.69,249.695
2019,Chemung,New York,813,105800,2831,839,23217,839,3818,4149,-245851,249669,3.818,-245.851,249.669
2020,Chemung,New York,862,108900,2872,829,23069,829,4680,4978,-245022,249702,4.68,-245.022,249.702
2021,Chemung,New York,918,114600,3092,851,23353,851,5598,5829,-244171,249769,5.598,-244.171,249.769
2022,Chemung,New York,991,128200,3267,916,23801,916,6589,6745,-243255,249844,6.589,-243.255,249.844
2023,Chemung,New York,1020,132100,3332,952,24384,952,7609,7697,-242303,249912,7.609,-242.303,249.912
2015,Chenango,New York,637,91700,2300,736,14785,736,637,736,-249264,249901,0.637,-249.264,249.901
2016,Chenango,New York,632,93400,2390,735,14968,735,1269,1471,-248529,249798,1.269,-248.529,249.798
2017,Chenango,New York,645,95900,2451,730,15265,730,1914,2201,-247799,249713,1.914,-247.799,249.713
2018,Chenango,New York,667,97000,2537,745,15370,745,2581,2946,-247054,249635,2.581,-247.054,249.635
