County,NPV_Rent_10yr,NPV_Buy_10yr,Difference_BuyMinusRent,Better_Option
Albany,10825.24,219489.72,208664.48,Renting
Bronx,12514.56,230910.68,218396.11,Renting
Broome,7514.56,110085.66,102571.1,Renting
Cattaraugus,5776.7,93252.69,87475.99,Renting
Cayuga,7252.43,173368.1,166115.68,Renting
Chautauqua,6097.09,137421.03,131323.95,Renting
Chemung,8048.54,75174.65,67126.1,Renting
Clinton,8106.8,122375.28,114268.49,Renting
Columbia,9980.58,342317.65,332337.07,Renting
Cortland,7660.19,115033.78,107373.59,Renting
Dutchess,12941.75,235450.41,222508.67,Renting
Erie,8611.65,169730.33,161118.68,Renting
Franklin,6699.03,72292.97,65593.94,Renting
Fulton,6893.2,122181.3,115288.1,Renting
Genesee,7378.64,119021.23,111642.59,Renting
Herkimer,6621.36,127825.86,121204.5,Renting
Jefferson,10019.42,144532.9,134513.49,Renting
Kings,16087.38,589374.71,573287.33,Renting
Livingston,7262.14,153415.7,146153.56,Renting
Madison,7446.6,126987.45,119540.84,Renting
Monroe,9640.78,140422.66,130781.88,Renting
Montgomery,6776.7,138646.76,131870.06,Renting
Nassau,19466.02,341634.95,322168.93,Renting
New York,19699.03,542134.91,522435.88,Renting
Niagara,7097.09,157356.15,150259.06,Renting
Oneida,7368.93,143255.07,135886.14,Renting
Onondaga,9038.83,183935.54,174896.7,Renting
Ontario,9097.09,187023.8,177926.71,Renting
Orange,13388.35,216552.26,203163.91,Renting
Orleans,6572.82,132327.25,125754.44,Renting
Oswego,7572.82,120116.59,112543.77,Renting
Otsego,7737.86,115788.34,108050.48,Renting
Putnam,16572.82,320983.04,304410.23,Renting
Queens,17262.14,291759.26,274497.13,Renting
Rensselaer,10058.25,178837.01,168778.76,Renting
Richmond,14611.65,246225.86,231614.21,Renting
Rockland,15990.29,374990.21,358999.92,Renting
Saratoga,11553.4,243097.46,231544.06,Renting
Schenectady,9368.93,174782.81,165413.88,Renting
Schoharie,7475.73,153730.62,146254.89,Renting
Seneca,7446.6,188667.79,181221.19,Renting
Steuben,6902.91,95004.58,88101.67,Renting
Suffolk,19640.78,373489.61,353848.83,Renting
Tioga,7359.22,107136.83,99777.61,Renting
Tompkins,12058.25,198021.76,185963.51,Renting
Ulster,11116.5,232696.54,221580.03,Renting
Warren,8980.58,184894.62,175914.04,Renting
Washington,8009.71,161423.3,153413.59,Renting
Wayne,7242.72,144678.86,137436.14,Renting
Westchester,16776.7,190509.16,173732.47,Renting
Yates,6048.54,231725.35,225676.81,Renting
